id,mbti_personality,pers_id
160881623,infp,0
28968838,infp,0
2325006565,infp,0
907848145,infp,0
1330237585,infp,0
97687049,infp,0
1291770157,infp,0
135504848,infp,0
63170384,infp,0
33811202,infp,0
29626898,infp,0
236506960,infp,0
95639457,infp,0
940044704,infp,0
334285760,infp,0
853568118,infp,0
2313138684,infp,0
90556968,infp,0
21720804,infp,0
140266454,infp,0
110740728,infp,0
89903824,infp,0
26253762,infp,0
29007608,infp,0
47602899,infp,0
20928960,infp,0
2957187500,infp,0
30991562,infp,0
2324543169,infp,0
814112994,infp,0
809208018,infp,0
103150164,infp,0
223644853,infp,0
21724047,infp,0
1556539693,infp,0
531444334,infp,0
333955253,infp,0
2680369410,infp,0
498602237,infp,0
704814349,infp,0
75019582,infp,0
171179615,infp,0
160948893,infp,0
130979390,infp,0
48685792,infp,0
356725965,infp,0
22748523,infp,0
38818613,infp,0
189387914,infp,0
265442860,infp,0
18945736,infp,0
195956095,infp,0
790546418,infp,0
356893735,infp,0
406488512,infp,0
254939433,infp,0
253683819,infp,0
15273552,infp,0
758231224515190784,infp,0
18817351,infp,0
1009227616887267328,infp,0
84967432,infp,0
760765609,infp,0
16196071,infp,0
179287169,infp,0
365208486,infp,0
482946056,infp,0
165209633,infp,0
1022293846162632705,infp,0
2240994156,infp,0
26585614,infp,0
70348670,infp,0
391969993,infp,0
150566587,infp,0
2194645105,infp,0
249840657,infp,0
76192451,infp,0
213191740,infp,0
845082578000404480,infp,0
14095664,infp,0
707621994,infp,0
16131149,infp,0
57231539,infp,0
56647626,infp,0
52273584,infp,0
133172336,infp,0
17259137,infp,0
24714215,infp,0
198475046,infp,0
243446713,infp,0
28083611,infp,0
1914297008,infp,0
15199524,infp,0
42304600,infp,0
861717985,infp,0
70615359,infp,0
892423635096526849,infp,0
273935170,infp,0
332622743,infp,0
195332048,infp,0
15310950,infp,0
24590995,infp,0
26730259,infp,0
494477815,infp,0
172526417,infp,0
93854196,infp,0
18392064,infp,0
3033624322,infp,0
57194960,infp,0
102827137,infp,0
345833071,infp,0
198740642,infp,0
1387835150,infp,0
48109717,infp,0
38539731,infp,0
16263718,infp,0
819795463,infp,0
122694018,infp,0
1933249722,infp,0
618118380,infp,0
3310224224,infp,0
24906534,infp,0
44867192,infp,0
747767486821576704,infp,0
384580631,infp,0
14862187,infp,0
251994994,infp,0
190122990,infp,0
869332660610617344,infp,0
194143646,infp,0
61928745,infp,0
56907620,infp,0
9259432,infp,0
2485626030,infp,0
6487812,infp,0
1561290230,infp,0
411572570,infp,0
17653562,infp,0
865257739773243392,infp,0
198330867,infp,0
7940222,infp,0
415859395,infp,0
49345031,infp,0
16561107,infp,0
16919540,infp,0
39819267,infp,0
50212013,infp,0
600189796,infp,0
2894485821,infp,0
3642321,infp,0
88273302,infp,0
210222003,infp,0
95150233,infp,0
59432201,infp,0
1435720248,infp,0
1078266074,infp,0
3273807085,infp,0
392009371,infp,0
228731633,infp,0
85105960,infp,0
2314444022,infp,0
14840355,infp,0
58441423,infp,0
17078094,infp,0
2468631822,infp,0
33735940,infp,0
145564076,infp,0
3325931739,infp,0
102849199,infp,0
2150274813,infp,0
60333673,infp,0
883463225148194817,infp,0
40217307,infp,0
17626223,infp,0
2228594305,infp,0
36984225,infp,0
3110323346,infp,0
255935713,infp,0
523802018,infp,0
111855780,infp,0
131885614,infp,0
736374267152105472,infp,0
222621145,infp,0
93794505,infp,0
870206017195225089,infp,0
883887872,infp,0
254704573,infp,0
39408088,infp,0
727261956,infp,0
2723893058,infp,0
62925601,infp,0
45634315,infp,0
364603783,infp,0
19903161,infp,0
2466268460,infp,0
18230930,infp,0
61724441,infp,0
62506519,infp,0
543031523,infp,0
29589033,infp,0
1082086676518891521,infp,0
966391198171635712,infp,0
2357842415,infp,0
15796866,infp,0
225501924,infp,0
165787205,infp,0
19017346,infp,0
118628464,infp,0
21377813,infp,0
205099651,infp,0
972336179977834496,infp,0
610163421,infp,0
774875665,infp,0
251685811,infp,0
2986002810,infp,0
2230247803,infp,0
19852276,infp,0
4098831858,infp,0
1117545750,infp,0
88762109,infp,0
725143482243796992,infp,0
2194248326,infp,0
18400978,infp,0
144155113,infp,0
985344792,infp,0
803844194,infp,0
800740202541031424,infp,0
212697407,infp,0
15615098,infp,0
3338178407,infp,0
847832035,infp,0
2388444205,infp,0
211284288,infp,0
3260742578,infp,0
443469553,infp,0
2832133914,infp,0
36590613,infp,0
14075135,infp,0
75210343,infp,0
2172434708,infp,0
912900908555653120,infp,0
832031373695315969,infp,0
149618115,infp,0
474931506,infp,0
1087035197651075074,infp,0
710555871915450368,infp,0
119668385,infp,0
3614971935,infp,0
23480887,infp,0
1414327477,infp,0
509412243,infp,0
928099471455485952,infp,0
546366428,infp,0
7263602,infp,0
782556031712956416,infp,0
1062397050,infp,0
3122145642,infp,0
56613098,infp,0
298201756,infp,0
15900326,infp,0
29410329,infp,0
15918509,infp,0
16181850,infp,0
1593511969,infp,0
16973406,infp,0
371646326,infp,0
2258223979,infp,0
16735395,infp,0
84222473,infp,0
2989599419,infp,0
53644053,infp,0
1257758221,infp,0
465815346,infp,0
176308191,infp,0
2726670391,infp,0
2936512616,infp,0
760146242244636672,infp,0
34561617,infp,0
22640849,infp,0
2546141375,infp,0
3065128480,infp,0
846875235093794817,infp,0
